id,customer_tweet_id,text,history,intent,sentiment,urgency,escalate,reason,ideal_reply_notes,labeller,suggested_intent,suggested_sentiment,suggested_urgency,suggested_escalate,suggested_reason
g139,57036,hi I received a notification about the ride pass sale but there was no follow up email or a prompt section on the app,,app_or_account_issue,neutral,medium,n,none,,,policy_or_info_question,neutral,low,False,none
g140,2269733,So sorry it's built into your system and it keeps happening?,"in the last month I have been charged £16 for drivers cancelling. When complaining credited to my Uber account, not my credit card! Shambles of a company, dishonest, deserve to have all licences revoked. Thought it was an accident first time! #uber #taxi #poo #shambles",fare_dispute,negative,high,y,amount_over,,,fare_dispute,negative,medium,True,amount_over
g141,1417267,you always bring my McDonald's cold and I don't get refunded. Please change this 😩,,uber_eats,negative,high,y,none,,,uber_eats,negative,low,True,not_allowed
g142,285786,Do not use !!! Left my brand new iPhone in a taxi and realised 2 seconds later only for the driver not to answer and turn my phone off,,lost_item,negative,high,y,none,,,lost_item,negative,medium,False,none
g143,653015,it was not cancelation fee as per the link you shared. the transaction is flagged as fraud now via my bank,hello .. i ride with you and it shows as 1 trip but being charged twice in my credit statement,fare_dispute,negative,high,y,not_allowed,,,fare_dispute,negative,medium,True,not_allowed
g144,95724,I've been waiting for an order for almost TWO HOURS and you won't let me cancel. Absolute piss take,,uber_eats,negative,low,y,urgent,,,uber_eats,negative,high,True,urgent
g145,2812188,"Hi , I keep getting sms:s from you about rides in Sri Lanka, which I visited in February. I have tweeted you, texted you and no reply. Please STOP sending me sms:s and respect that I ask you to stop!",,other,negative,high,y,repeat_contact,,,other,negative,medium,True,repeat_contact
g146,2726052,"Urgent, please call 917-502-8899 re lost item. Uber’s directions are not helping","Please, please help. We lost a phone in one of your cars yesterday. Pickup was in Queens. Driver TLC Lic. 5801096. Important medical contact on it. Please help. Call Rob 917-502-8899. Car lic. T602852C",lost_item,neutral,high,y,urgent,,,lost_item,negative,high,True,urgent
g147,802050,I've done that but his phone is switched off. I've also gone through the option when you can't get hold of them. Has her passport too 😞,"think my mate has left bag in uber cab, can't get hold of the driver, her house key in her bag, any advice? Help!",lost_item,negative,medium,False,none,,,lost_item,negative,medium,False,none
g148,1597767,you have charged me 4 pound and 3 pound for fares u cancelled not me,fare_dispute,negative,medium,True,not_allowed,,,,fare_dispute,negative,medium,True,not_allowed
g149,2704269,Did you even read my tweet? The problem is I don't know whether to hang up the phone once I've left the message OR wait for further instruction,"When leaving a message to the uber driver about a lost item, do I just hang up when done or do I have to wait?",,,,,,,,lost_item,neutral,low,False,none
g150,2624513,It says they aren't available?,"Hey, I've had an order with a missing item with ubereats, less than an hour ago",uber_eats,negative,medium,True,not_allowed,,,uber_eats,negative,medium,True,not_allowed
